Subject,Cond,Trial,T_s,T_p,Main
0,One,0,1440.32,1440.32,Train
0,One,1,2152.74,2152.74,Train
0,One,2,1503.15,1503.15,Train
0,One,3,1594.56,1594.56,Train
0,One,4,2323.75,2323.75,Train
0,One,5,2205.75,2205.75,Train
0,One,6,1945.31,1945.31,Train
0,One,7,2453.38,2453.38,Train
0,One,8,2065.22,2065.22,Train
0,One,9,1990.75,1990.75,Train
0,One,10,1666.6,1666.6,Train
0,One,11,1840.97,1840.97,Train
0,One,12,1937.07,1937.07,Train
0,One,13,1865.08,1865.08,Train
0,One,14,1951.72,1951.72,Train
0,One,15,1958.59,1958.59,Train
0,One,16,1979.37,1979.37,Train
0,One,17,1815.29,1815.29,Train
0,One,18,2274.07,2274.07,Train
0,One,19,2053.11,2053.11,Train
0,One,20,1565.03,1565.03,Train
0,One,21,1904.3,1904.3,Train
0,One,22,1924.11,1924.11,Train
0,One,23,1826.98,1826.98,Train
0,One,24,1771.31,1771.31,Train
0,One,25,2424.75,2424.75,Train
0,One,26,2087.39,2087.39,Train
0,One,27,1670.97,1670.97,Train
0,One,28,2066.91,2066.91,Train
0,One,29,2197.07,2197.07,Train
0,One,30,1667.42,1667.42,Train
0,One,31,1858.53,1858.53,Train
0,One,32,1989.12,1989.12,Train
0,One,33,2032.77,2032.77,Train
0,One,34,1552.68,1552.68,Train
0,One,35,2141.15,2141.15,Train
0,One,36,1792.94,1792.94,Train
0,One,37,2044.49,2044.49,Train
0,One,38,1647.42,1647.42,Train
0,One,39,2059.88,2059.88,Train
0,One,40,2086.49,2086.49,Train
0,One,41,1794.24,1794.24,Train
0,One,42,2099.36,2099.36,Train
0,One,43,1613.03,1613.03,Train
0,One,44,1538.87,1538.87,Train
0,One,45,1608.34,1608.34,Train
0,One,46,2137.78,2137.78,Train
0,One,47,2008.36,2008.36,Train
0,One,48,2033.07,2033.07,Train
0,One,49,1880.62,1880.62,Train
0,One,50,2295.67,2295.67,Train
0,One,51,1659.49,1659.49,Train
0,One,52,1571.25,1571.25,Train
0,One,53,1586.63,1586.63,Train
0,One,54,1872.26,1872.26,Train
0,One,55,1905.57,1905.57,Train
0,One,56,2128.59,2128.59,Train
0,One,57,2279.52,2279.52,Train
0,One,58,1884.41,1884.41,Train
0,One,59,2344.38,2344.38,Train
0,One,60,2527.73,2527.73,Train
0,One,61,1813.75,1813.75,Train
0,One,62,2053.27,2053.27,Train
0,One,63,1800.14,1800.14,Train
0,One,64,1848.52,1848.52,Train
0,One,65,1454.56,1454.56,Train
0,One,66,2068.7,2068.7,Train
0,One,67,1827.24,1827.24,Train
0,One,68,1955.35,1955.35,Train
0,One,69,1975.1,1975.1,Train
0,One,70,1656.74,1656.74,Train
0,One,71,1637.72,1637.72,Train
0,One,72,1463.02,1463.02,Train
0,One,73,2313.59,2313.59,Train
0,One,74,1903.37,1903.37,Train
0,One,75,1458.87,1458.87,Train
0,One,76,1601.05,1601.05,Train
0,One,77,1717.56,1717.56,Train
0,One,78,1975.22,1975.22,Train
0,One,79,1806.44,1806.44,Train
0,One,80,1434.12,1434.12,Train
0,One,81,1759.84,1759.84,Train
0,One,82,1981.82,1981.82,Train
0,One,83,1856.17,1856.17,Train
0,One,84,2397.29,2397.29,Train
0,One,85,1755.01,1755.01,Train
0,One,86,2052.41,2052.41,Train
0,One,87,1680.84,1680.84,Train
0,One,88,2446.86,2446.86,Train
0,One,89,2447.38,2447.38,Train
0,One,90,1906.81,1906.81,Train
0,One,91,1757.72,1757.72,Train
0,One,92,1808.22,1808.22,Train
