int,resp,probs,feedback,Subject,Block,Run,Task,Main
525.0,558.4656104562985,0.30968689041878067,4.063300075148164,1,Short Uniform,962,1,True
750.0,594.6342787126251,0.28306523027374486,42.91290195759333,1,Short Uniform,963,1,True
750.0,540.3445526240337,0.13566369003556167,78.14294509229615,1,Short Uniform,964,1,True
525.0,612.2054211836963,0.26171529468012966,27.591058444719714,1,Short Uniform,965,1,True
825.0,736.8423422769226,0.5353130829609751,11.418582354775776,1,Short Uniform,966,1,True
750.0,723.348843483318,0.1051201591722012,1.2627273665363246,1,Short Uniform,967,1,True
675.0,590.0068150124459,0.6550940783079122,15.85479614667453,1,Short Uniform,968,1,True
750.0,669.5567078168053,0.5614128667892645,11.504219124037029,1,Short Uniform,969,1,True
750.0,705.3061718343098,0.6570716199925803,3.5511791575186544,1,Short Uniform,970,1,True
450.0,538.6251341605195,0.17104014095213904,38.78723162948183,1,Short Uniform,971,1,True
525.0,539.9886637591982,0.15368590022580444,0.8150931203131094,1,Short Uniform,972,1,True
525.0,532.3847806978475,0.6027118017465497,0.1978593594750167,1,Short Uniform,973,1,True
750.0,766.7839959108393,0.6198238776767554,0.5008044777512349,1,Short Uniform,974,1,True
750.0,564.2849751426376,0.0667624899408317,61.315680813814666,1,Short Uniform,975,1,True
600.0,857.0329437086748,0.02054899869465683,183.51648375429662,1,Short Uniform,976,1,True
825.0,476.7817754001762,0.3198490417516716,178.15380267174044,1,Short Uniform,977,1,True
600.0,601.9185192728639,0.1256881897409114,0.010224211667639864,1,Short Uniform,978,1,True
750.0,645.1965953170572,0.016239470890889205,19.5266731255763,1,Short Uniform,979,1,True
450.0,632.3751898703567,0.15120188606746704,164.25041916172185,1,Short Uniform,980,1,True
600.0,483.99910818495164,0.06252562049687788,37.37835250524042,1,Short Uniform,981,1,True
600.0,632.6751946977857,0.6490385808358998,2.9657454126061262,1,Short Uniform,982,1,True
825.0,684.0608515822377,0.6900667827860497,29.184710459833298,1,Short Uniform,983,1,True
450.0,618.5096065328024,0.09738511220719785,140.22462959920935,1,Short Uniform,984,1,True
675.0,829.4904525146333,0.7398561016881356,52.383648654433266,1,Short Uniform,985,1,True
825.0,409.8140434000604,0.032136379359700366,253.26630458447292,1,Short Uniform,986,1,True
450.0,423.9917511906263,0.41065853283156917,3.340390153729819,1,Short Uniform,987,1,True
750.0,621.9751326585146,0.04398065696003263,29.138429613875463,1,Short Uniform,988,1,True
750.0,656.0967765329746,0.0816206957465532,15.676116226663318,1,Short Uniform,989,1,True
675.0,667.5768590644342,0.5066474905819267,0.12093941585574294,1,Short Uniform,990,1,True
675.0,624.0859203240839,0.6141660350733189,5.689423339907898,1,Short Uniform,991,1,True
675.0,572.6303438843903,0.13198206919788802,23.000376391172978,1,Short Uniform,992,1,True
450.0,576.8209114319475,0.1952095324179801,79.42490655027095,1,Short Uniform,993,1,True
825.0,880.6592357228988,0.3423997911015565,4.551626110203428,1,Short Uniform,994,1,True
600.0,526.2029849865881,0.6686010399926773,15.127776180249262,1,Short Uniform,995,1,True
675.0,563.4768035114131,0.1709044404741303,27.297499819000194,1,Short Uniform,996,1,True
600.0,817.8101249768364,0.16618003703782722,131.78125150673637,1,Short Uniform,997,1,True
675.0,749.0797043438597,0.6812877450748659,12.044559880765247,1,Short Uniform,998,1,True
675.0,414.7805815346193,0.02642436436448668,148.61815252995538,1,Short Uniform,999,1,True
600.0,604.7044222402777,0.036266223996102236,0.061476635041165725,1,Short Uniform,1000,1,True
600.0,551.5837941688616,0.21846135295592317,6.511469408564341,1,Short Uniform,1001,1,True
450.0,509.68140034769283,0.23534006605878127,17.5894792467239,1,Short Uniform,1002,1,True
450.0,535.2737467002129,0.04726814168112428,35.90919445082503,1,Short Uniform,1003,1,True
675.0,852.7078933855865,0.018751688799031888,69.31159477979259,1,Short Uniform,1004,1,True
675.0,495.7104016779022,0.6695107519896468,70.55091372619846,1,Short Uniform,1005,1,True
